rollno,31.05.2022,31.05.2022,31.05.2022,31.05.2022,31.05.2022,27.07.2022,30.07.2022,30.07.2022,30.07.2022
co19301,0,0,0,0,0,0,1,0,0
co19302,0,0,0,0,0,0,0,0,1
co19303,0,0,0,0,0,0,1,0,0
co19304,0,0,0,0,0,0,0,0,0
co19305,0,0,0,0,0,0,1,0,0
co19306,1,1,1,1,0,1,0,0,0
co19307,1,0,0,0,0,0,0,0,0
co19308,1,0,0,0,0,0,0,0,0
co19309,0,0,0,0,0,0,0,0,0
co19310,0,0,0,0,0,0,0,1,0
co19311,0,0,0,0,0,0,0,0,1
co19312,0,0,0,0,0,0,1,1,0
co19313,0,0,0,0,0,0,1,1,0
co19314,0,0,0,0,0,1,0,0,0
co19315,0,0,0,0,0,1,0,0,0
co19316,0,0,0,0,0,0,0,0,0
co19317,1,1,0,0,1,0,0,0,0
co19318,0,0,0,0,0,0,0,0,0
co19319,0,0,0,0,0,0,0,0,0
co19320,0,1,0,0,0,0,1,0,0
co19321,0,0,0,0,0,0,0,0,0
co19322,0,0,0,0,0,0,0,0,0
co19323,0,0,0,0,0,0,0,0,0
co19324,0,0,0,0,0,0,0,0,0
co19325,0,0,0,0,0,0,0,0,0
co19326,0,0,0,0,0,0,0,0,0
co19327,0,0,0,0,0,1,1,0,1
co19328,0,0,0,1,0,1,1,0,0
co19329,0,0,0,0,0,0,0,0,0
co19330,0,0,0,0,0,0,0,0,0
co19331,0,0,0,0,0,0,1,0,0
co19332,0,0,0,0,0,0,1,0,0
co19333,0,0,0,0,0,0,0,0,1
co19334,0,0,0,0,0,0,1,1,0
co19335,0,0,0,0,0,0,0,0,0
co19336,0,0,0,0,0,0,0,0,0
co19337,0,0,0,0,0,0,0,0,0
co19338,0,1,0,0,0,1,1,0,0
co19339,0,0,0,0,0,0,0,0,0
co19340,0,0,0,0,0,0,0,0,0
co19341,0,0,0,0,0,0,0,0,0
co19342,0,0,0,0,0,0,0,0,0
co19343,0,0,0,0,0,0,0,0,0
co19344,0,0,0,0,0,0,1,0,0
co19345,0,0,0,0,0,0,0,0,0
co19346,0,0,0,0,0,0,0,0,0
co19347,0,0,0,0,0,1,0,0,0
co19348,0,0,0,0,0,0,0,0,0
co19349,0,0,0,0,0,1,0,0,0
co19350,0,0,0,0,0,0,0,0,0
co19351,0,0,0,0,0,0,0,0,0
co19352,0,0,0,0,1,1,1,1,1
co19353,0,1,1,0,0,0,0,0,0
co19354,0,0,0,0,0,0,1,0,0
co19355,0,1,0,1,1,1,0,0,0
co19356,0,0,0,0,0,0,0,0,0
co19357,0,0,0,0,0,0,0,0,0
co19358,0,0,0,0,0,0,0,0,0
co19359,0,0,0,0,0,0,0,0,0
co19360,0,0,0,0,0,0,0,0,0
co19361,0,0,0,0,0,0,0,0,0
co19362,1,1,0,0,0,0,0,1,0
co19363,0,0,0,0,0,0,0,0,0
co19364,1,1,0,0,0,0,0,0,0
co19365,0,0,0,0,0,0,0,0,0
co19366,0,0,0,0,0,0,0,0,0
co19367,0,0,0,0,0,0,0,0,0
co19368,0,0,0,0,0,0,0,0,0
co19369,0,0,0,0,0,0,0,0,0
co19370,0,0,0,0,0,0,0,0,0
co19371,0,0,0,0,0,0,0,0,0
co19372,0,0,0,0,0,0,0,0,0
co19373,0,0,0,0,0,0,0,0,0
co19374,0,0,0,0,0,0,0,0,0
co19375,0,1,1,1,0,0,1,1,1
co19376,0,0,0,0,0,0,0,0,0
co19377,0,0,0,0,0,0,0,0,0
co19378,0,0,0,0,0,0,1,0,0
co19379,0,1,0,1,0,0,0,0,0
co19380,0,0,0,0,0,0,0,0,0
co19381,0,0,0,0,0,0,0,0,0
co19382,0,0,0,0,0,0,0,0,0
